calculationMode,firstPlayerWinRatePercent,playerName,originalElo,effectiveElo,eloDelta,firstPlayerCount,secondPlayerCount,firstPlayerWinRatePercent,secondPlayerWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,飛,5050,4903,-147,0,8,,61.51,18.79,5.322,18.79,162.500,11.21,97.000,12.62,109.167,8.21,71.000,8.65,74.833,5.82,50.333,7.11,61.500,6.61,57.167,4.16,36.000,3.45,29.833,3.28,28.333,4.55,39.333,2.37,20.500,1.68,14.500,1.39,12.000,0.12,1.000
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,角,5030,4883,-147,0,8,,58.79,13.66,5.815,13.66,118.167,12.33,106.667,11.50,99.500,11.85,102.500,6.97,60.333,5.07,43.833,6.99,60.500,6.71,58.000,3.83,33.167,4.03,34.833,5.14,44.500,4.28,37.000,1.79,15.500,1.68,14.500,2.66,23.000,1.50,13.000
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,玉,5010,4863,-147,0,8,,56.03,11.02,6.410,11.02,95.333,9.81,84.833,10.12,87.500,9.42,81.500,7.61,65.833,6.42,55.500,8.21,71.000,6.86,59.333,5.78,50.000,4.35,37.667,5.97,51.667,5.09,44.000,3.80,32.833,2.39,20.667,2.18,18.833,0.98,8.500
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,金,4990,4843,-147,0,8,,53.22,8.09,7.187,8.09,70.000,6.94,60.000,9.58,82.833,10.81,93.500,5.99,51.833,6.09,52.667,8.38,72.500,8.05,69.667,5.26,45.500,4.55,39.333,5.82,50.333,6.44,55.667,3.97,34.333,3.80,32.833,3.53,30.500,2.72,23.500
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,銀,4970,4823,-147,0,8,,50.40,5.07,7.981,5.07,43.833,6.69,57.833,6.94,60.000,8.75,75.667,7.76,67.167,6.74,58.333,7.42,64.167,6.90,59.667,6.45,55.833,4.53,39.167,7.09,61.333,5.24,45.333,5.74,49.667,5.20,45.000,5.95,51.500,3.53,30.500
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,桂,4950,4803,-147,0,8,,47.57,4.95,8.661,4.95,42.833,5.41,46.833,6.11,52.833,5.80,50.167,5.97,51.667,5.90,51.000,7.65,66.167,6.94,60.000,5.68,49.167,5.93,51.333,9.23,79.833,7.38,63.833,5.65,48.833,5.61,48.500,6.59,57.000,5.20,45.000
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,香,4930,4783,-147,0,8,,44.76,3.74,9.218,3.74,32.333,3.91,33.833,4.66,40.333,5.26,45.500,7.46,64.500,5.41,46.833,6.55,56.667,6.84,59.167,4.78,41.333,6.86,59.333,9.58,82.833,8.57,74.167,4.47,38.667,8.40,72.667,6.74,58.333,6.76,58.500
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,歩,4910,4763,-147,0,8,,41.98,2.08,9.818,2.08,18.000,2.54,22.000,4.14,35.833,5.80,50.167,5.18,44.833,4.80,41.500,7.57,65.500,8.90,77.000,4.74,41.000,6.53,56.500,6.84,59.167,8.29,71.667,6.20,53.667,8.25,71.333,8.77,75.833,9.36,81.000
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,きりん,4890,5037,+147,8,0,58.02,,8.63,7.260,8.63,74.667,9.91,85.700,7.26,62.817,6.34,54.883,7.13,61.667,9.12,78.883,6.41,55.433,6.03,52.133,7.00,60.517,6.51,56.300,4.90,42.350,4.63,40.083,5.36,46.350,4.49,38.817,3.72,32.167,2.57,22.233
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,ぞう,4870,5017,+147,8,0,55.24,,7.81,7.844,7.81,67.583,7.66,66.283,6.72,58.150,5.10,44.100,6.65,57.550,9.17,79.300,6.25,54.050,5.47,47.283,7.96,68.817,7.53,65.167,4.93,42.633,4.56,39.467,6.40,55.367,5.20,44.967,4.34,37.583,4.24,36.700
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,らいおん,4850,4997,+147,8,0,52.43,,5.05,8.276,5.05,43.667,7.31,63.250,5.61,48.533,5.81,50.217,7.69,66.500,8.17,70.683,5.16,44.650,5.35,46.300,7.78,67.317,7.99,69.150,6.63,57.317,5.97,51.633,6.99,60.450,5.52,47.750,4.72,40.800,4.25,36.783
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,いぬ,4830,4977,+147,8,0,49.60,,3.89,9.143,3.89,33.667,5.47,47.283,4.65,40.233,4.02,34.750,5.54,47.950,6.16,53.267,5.73,49.550,6.34,54.883,8.31,71.850,8.84,76.500,7.12,61.617,6.47,55.950,7.92,68.500,7.30,63.183,6.20,53.667,6.03,52.150
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,ねこ,4810,4957,+147,8,0,46.78,,3.03,9.631,3.03,26.250,4.43,38.283,3.45,29.867,4.24,36.683,6.00,51.933,6.66,57.567,5.44,47.050,5.70,49.317,7.75,67.017,7.60,65.700,6.24,53.933,6.19,53.517,8.84,76.500,8.17,70.650,7.87,68.050,8.40,72.683
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,うさぎ,4790,4937,+147,8,0,43.97,,1.71,10.534,1.71,14.750,2.32,20.033,2.58,22.283,3.52,30.467,5.29,45.800,6.57,56.850,4.40,38.100,4.93,42.683,6.99,60.450,7.44,64.367,5.44,47.083,7.65,66.150,9.37,81.067,9.49,82.117,11.28,97.533,11.01,95.267
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,いのしし,4770,4917,+147,8,0,41.21,,1.29,11.126,1.29,11.167,2.84,24.583,2.35,20.367,2.34,20.233,3.27,28.317,4.60,39.783,3.84,33.183,3.95,34.167,6.73,58.233,7.37,63.767,6.52,56.383,7.21,62.383,11.63,100.617,11.44,98.933,10.87,94.067,13.74,118.817
"大会進行フレームワーク / FixedMatch / Twill+CommonOpp (865/2,000回, 時間切れ)",70.00,ひよこ,4750,4897,+147,8,0,38.49,,1.18,11.774,1.18,10.250,1.22,10.583,1.71,14.750,2.74,23.667,2.81,24.283,3.31,28.667,2.89,24.983,4.42,38.233,6.80,58.800,6.48,56.050,5.28,45.683,7.49,64.817,9.50,82.150,11.40,98.583,13.19,114.133,19.58,169.367
